Title,Year,Summary,Runtime,YouTube Trailer,Rating,Director,Writers,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Cast_1,Cast_2,Cast_3,Keywords,Keywords_str
Down Terrace,2009,serving jail time mysterious crime bill karl get jail become preoccupied figuring turned police top family business rock motley crew criminal operate terrace arent feeling terribly trusting one another might look like ordinary house terrace wall closing                                                                                                                                                   ,93,Ldm7DWBZQsg,6.5,Ben Wheatley,Ben Wheatley,action,comedy,crime,drama,,julia deakin,robert hill,robin hill,"['terrace', 'jail', 'preoccupied', 'karl', 'figuring']",terrace jail preoccupied karl figuring
Wildlike,2014,mackenzie troubled daring teenage girl sent struggling mother live uncle juneau alaska although uncle seems like supportive caretaker friend relationship turn mackenzie forced run trying make way back seattle alone find absent mother mackenzie wind deeper alaskan interior lost one else turn shadow loner backpacker bartlett unlikely father figure scar together cross wilderness discover sanctuary la,104,z99xBXUiWPk,6.7,Frank Hall Green,Frank Hall Green,action,adventure,drama,thriller,,brian geraghty,diane farr,ella purnell,"['mackenzie', 'uncle', 'alaskan', 'scar', 'turn']",mackenzie uncle alaskan scar turn
Undisputed 2: Last Man Standing,2006,sequel 2002 film time heavyweight champ george iceman chamber sent russian jail trumpedup drug charge                                                                                                                                                                                                                                                                                                           ,98,fTTfnuwjTUE,7.1,Isaac Florentine,Boaz Davidson,action,crime,drama,sport,,michael jai white,scott adkins,,"['champ', '2002', 'heavyweight', 'chamber', 'sequel']",champ 2002 heavyweight chamber sequel
Undisputed,2002,george ice man chamber rhames top ranked heavyweight boxer however chamber world turned upside accused rape sent prison upon arrival hears talk monroe hutchen snipe top ranked prison boxing champ 10 year running immediately bad blood chamber wanting second one lead lunch room fight men figuring good way make money fellow convict emmanuel mendy ripstein peter falk set prison boxing match two men de,0,Diy3fuwhxQw,6.2,Walter Hill,David Giler,action,crime,drama,sport,,peter falk,ving rhames,wesley snipes,"['chamber', 'ranked', 'prison', 'boxing', 'top']",chamber ranked prison boxing top
Tigerland,2000,september 1971 platoon recruit arrives ft polk la infantry training leaving war final week take place tigerland swamp similar vietnam jim paxton enlisted want experience everything write book later befriends roland bozz cool texan gift getting trouble helping misfit get discharge least one sociopath platoon hate bozz even sergeant grudgingly recognize leadership ability platoon head week tigerland,101,NACUxVR8bz0,7.0,Joel Schumacher,Ross Klavan,action,drama,war,,,clifton collins jr.,colin farrell,matthew davis,"['platoon', 'bozz', 'tigerland', 'week', 'paxton']",platoon bozz tigerland week paxton
The Informant!,2009,mark whitacre worked lysine developing company adm many year even found way upper management nothing prepared job undertake spy fbi unwillingly pressured working informant illegal pricefixing activity company whitacre gradually adopts idea he true secret agent incessant lie keep piling world begin crashing around                                                                                      ,108,2w4pdDkYEAg,6.5,Steven Soderbergh,Scott Z. Burns,action,comedy,crime,drama,thriller,matt damon,patton oswalt,tony hale,"['company', 'unwillingly', 'piling', 'crashing', 'pressured']",company unwillingly piling crashing pressured
10 Cloverfield Lane,2016,car accident michelle awakens find mysterious bunker two men named howard emmett howard offer pair crutch help remain mobile leg injury sustained car crash tell get good leaving bunker given information alien attack outside world poisoned however howard emmetts intention soon become questionable michelle faced question better                                                                         ,103,saHzng8fxLs,7.2,Dan Trachtenberg,Josh Campbell,action,drama,horror,mystery,sci-fi,john goodman,mary elizabeth winstead,,"['howard', 'bunker', 'michelle', 'car', 'mobile']",howard bunker michelle car mobile
The Brothers Grimsby,2016,mi6s top assassin mark strong brother unfortunately he football hooligan sacha baron cohen town grimsby nobby everything man poor english fishing town grimsby could want 9 child attractive girlfriend northern england rebel wilson there one thing missing life little brother sebastian adopted different family child nobby spent 28 year searching upon hearing location nobby set reunite brother unaware,83,Mi5SiMLFj2c,6.2,Louis Leterrier,Sacha Baron Cohen,action,adventure,comedy,,,mark strong,sacha baron cohen,,"['nobby', 'brother', 'sacha', 'town', 'child']",nobby brother sacha town child
"Hello, My Name Is Doris",2015,selfhelp seminar inspires sixtysomething woman romantically pursue younger coworker                                                                                                                                                                                                                                                                                                                             ,90,L6vBnnryIug,6.6,Michael Showalter,Laura Terruso,action,comedy,drama,romance,,max greenfield,sally field,,"['romantically', 'selfhelp', 'inspires', 'coworker', 'pursue']",romantically selfhelp inspires coworker pursue
Touched with Fire,2015,two bipolar patient meet psychiatric hospital begin romance brings beauty horror condition                                                                                                                                                                                                                                                                                                                      ,106,NHx7Y_PCwwQ,6.1,Paul Dalio,Paul Dalio,drama,romance,,,,christine lahti,katie holmes,luke kirby,"['bipolar', 'psychiatric', 'condition', 'patient', 'beauty']",bipolar psychiatric condition patient beauty
Gosford Park,2001,set 1930s story take place oldfashioned english country house weekend shooting party underway story center mccordle family particularly man house william mccordle getting year william become benefactor many relative friend weekend go secret revealed seems everyone stair want piece william money far go get                                                                                              ,131,CjXdmXhwIQk,7.3,Robert Altman,Julian Fellowes,action,comedy,drama,mystery,,maggie smith,ryan phillippe,,"['william', 'weekend', 'oldfashioned', 'house', 'underway']",william weekend oldfashioned house underway
Kill the Irishman,2011,true story danny greene impoverished charismatic young irishamerican rise power president longshoreman local union charged corruption evades serious jail time becoming fbi informant fearless nerve join force mafia gangster rise power cleveland underworld gaining reputation robin hoodlike figure nine life escape countless assassination attempt                                                        ,106,w_uoDiEDEsY,7.1,Jonathan Hensleigh,Jonathan Hensleigh,action,biography,crime,drama,,christopher walken,ray stevenson,,"['rise', 'power', 'cleveland', 'impoverished', 'irishamerican']",rise power cleveland impoverished irishamerican
Dog Pound,2010,17yearold butch sent enola vale youth correctional center montana blinding abusive correctional officer brings deepseated intolerance injustice penchant meting retribution one better mess anyone else he unfortunately many                                                                                                                                                                                   ,91,Jvrn4Z8Sl3M,7.0,Kim Chapiron,Jeremie Delon,action,drama,,,,adam butcher,matthew morales,shane kippel,"['correctional', 'blinding', 'intolerance', 'butch', 'injustice']",correctional blinding intolerance butch injustice
Catfish,2010,late 2007 filmmaker ariel schulman henry joost sensed story unfolding began film life ariels brother nev idea project would lead exhilarating unsettling month life reality thriller shocking product time catfish riveting story love deception grace within labyrinth online intrigue                                                                                                                         ,87,BuE98oeL-e0,7.1,Henry Joost,Nev Schulman,action,documentary,,,,henry joost,,,"['unfolding', 'riveting', 'labyrinth', '2007', 'exhilarating']",unfolding riveting labyrinth 2007 exhilarating
Sin Nombre,2009,honduran teenager sayra reunites father opportunity potentially realize dream life u moving mexico first step fateful journey unexpected event                                                                                                                                                                                                                                                                  ,96,Fvbqwx3e_bQ,7.6,Cary Joji Fukunaga,Cary Joji Fukunaga,action,adventure,crime,drama,thriller,leonardo alonso,marco antonio aguirre,paulina gaitan,"['reunites', 'potentially', 'fateful', 'mexico', 'moving']",reunites potentially fateful mexico moving
The Confirmation,2016,eight year old anthony somewhat uneasy spending weekend alcoholic downonhisluck carpenter dad walt mom bonnie new husband kyle go catholic retreat together walt uneasy spending time anthony especially since first day together series characteristically unfortunate event including truck breaking landlord locking house theft toolbox need upcoming job walt anthony set finding guy stole tool improvise ,101,kZiyaxhPAgo,6.4,Bob Nelson,Bob Nelson,action,comedy,,,,clive owen,jaeden lieberher,maria bello,"['walt', 'anthony', 'uneasy', 'spending', 'landlord']",walt anthony uneasy spending landlord
Anything Else,2003,jerry falk david dobel meet business meeting become fast friend commonality fledgling new york based comedy writer largely writing material standups jewish although david atheist bundle different neurosis big difference jerry twentyone david sixty forty year worth life experience knowledge neurosis jerry writes full time also working novel david kept day job public school teacher case relationship,108,wIAuRc7TrrM,6.4,Woody Allen,Woody Allen,comedy,romance,,,,christina ricci,jason biggs,woody allen,"['david', 'jerry', 'neurosis', 'bundle', 'forty']",david jerry neurosis bundle forty
13 Hours,2016,libya 2012 unofficial cia base benghazi group exmilitary contractor providing security aftermath gaddafi downfall power vacuum exists climate volatile military weapon freely available u ambassador libya chris stevens make visit area staying compound near cia base night 11 september 2012 ambassador compound attacked horde heavily armed local force willing able defend six cia contractor             ,144,jBFmlNfFwUw,7.3,Michael Bay,Chuck Hogan,action,drama,history,thriller,war,james badge dale,john krasinski,pablo schreiber,"['libya', 'cia', '2012', 'ambassador', 'contractor']",libya cia 2012 ambassador contractor
Anomalisa,2015,michael stone author specializes customer service man unable interact deeply people low sensitivity excitement lack interest made man repetitive life perspective went business trip met stranger extraordinary stranger slowly became cure negative view life possibly change mundane life                                                                                                                     ,90,TWO5jH2tWpA,7.3,Duke Johnson,Charlie Kaufman,action,animation,comedy,drama,romance,david thewlis,jennifer jason leigh,tom noonan,"['stranger', 'repetitive', 'specializes', 'interact', 'negative']",stranger repetitive specializes interact negative
Mr. Right,2015,going painful breakup woman meet man appears perfect however relationship develops learns former hitman new genuine relationship tested even try save dark past come back haunt                                                                                                                                                                                                                                 ,95,2TatqilQ8rI,6.3,Paco Cabezas,Max Landis,action,comedy,romance,,,anna kendrick,sam rockwell,tim roth,"['relationship', 'breakup', 'genuine', 'painful', 'tested']",relationship breakup genuine painful tested
"Hail, Caesar!",2016,hail caesar follows day life eddie mannix hollywood fixer capitol picture 1950s clean solves problem big name star industry studio star baird whitlock disappears mannix deal fix                                                                                                                                                                                                                               ,106,JRqKieJzCeo,6.3,Ethan Coen,Joel Coen,comedy,mystery,,,,alden ehrenreich,george clooney,josh brolin,"['mannix', 'star', 'whitlock', 'baird', 'hail']",mannix star whitlock baird hail
Louder Than Bombs,2015,upcoming exhibition celebrating photographer isabelle reed three year untimely death brings eldest son jonah back family house forcing spend time father gene withdrawn younger brother conrad year three roof gene try desperately connect two son struggle reconcile feeling woman remember differently                                                                                                       ,109,4I1l_J9QuVk,6.6,Joachim Trier,Joachim Trier,action,drama,,,,gabriel byrne,isabelle huppert,jesse eisenberg,"['gene', 'three', 'exhibition', 'isabelle', 'conrad']",gene three exhibition isabelle conrad
The von Trapp Family: A Life of Music,2015,agathe von trapp eldest daughter wellknown musical family overcomes many obstacle pursue musical career move united state                                                                                                                                                                                                                                                                                       ,98,A0xNLDW5N5M,6.5,Ben Verbong,Chris Silber,action,biography,drama,family,music,eliza bennett,matthew macfadyen,,"['musical', 'overcomes', 'wellknown', 'von', 'eldest']",musical overcomes wellknown von eldest
Rambo,2008,vietnam veteran john rambo survived many harrowing ordeal lifetime since withdrawn simple secluded existence thailand spends time capturing snake local entertainer chauffeuring local old pt boat even though looking avoid trouble trouble way finding group christian human right missionary led michael burnett sarah miller approach rambo desire rent boat travel river burma fifty year burma war zone ka,92,2CRjdwRYQbU,7.0,Sylvester Stallone,Art Monterastelli,action,thriller,war,,,julie benz,sylvester stallone,,"['rambo', 'boat', 'trouble', 'local', 'ka']",rambo boat trouble local ka
WXIII: Patlabor the Movie 3,2002,two police detective sv2 investigate series mysterious act deadly destruction occuring around tokyo bay                                                                                                                                                                                                                                                                                                         ,102,cnMAdKo1rVc,6.7,Takuji Endo,Miki Tori,action,animation,crime,sci-fi,,atsuko tanaka,hiroaki hirata,katsuhiko watabiki,"['tokyo', 'bay', 'destruction', 'investigate', 'act']",tokyo bay destruction investigate act
Harlock: Space Pirate,2013,2977 many year mighty battle raging across galaxy 500 billion human whose forebear exiled earth plan return still called home forced flee ravaged earth human depleted corner galaxy fled earth become valued precious resource controlled corrupt gaia coalition governs human race across different galaxy exiled vilified battle homecoming war captain harlock trusted crew arcadia battle cruiser hope mank,115,1vdw0If6Zzg,6.5,Shinji Aramaki,Leiji Matsumoto,action,adventure,animation,sci-fi,,jessica boone,yû aoi,,"['galaxy', 'exiled', 'earth', 'human', 'battle']",galaxy exiled earth human battle
Collapse,2009,documentary michael ruppert police officer turned independent reporter predicted current financial crisis selfpublished newsletter wilderness                                                                                                                                                                                                                                                                   ,82,XXIRwd1LNVY,7.8,Chris Smith,Michael Ruppert,action,documentary,,,,michael ruppert,,,"['predicted', 'independent', 'wilderness', 'current', 'financial']",predicted independent wilderness current financial
He Never Died,2015,jack rut depression severe antisocial behavior whittled existence sleeping watching television spends day diner playing church bingo sleeping hired thug show jack life stirred question existence come light                                                                                                                                                                                                   ,99,WyWralJ2pkk,6.4,Jason Krawczyk,Jason Krawczyk,action,comedy,drama,fantasy,thriller,booboo stewart,henry rollins,kate greenhouse,"['sleeping', 'existence', 'jack', 'rut', 'diner']",sleeping existence jack rut diner
John Wick,2014,untimely death beloved wife still bitter mouth john wick expert former assassin receives one final gift hera precious keepsake help john find new meaning life gone arrogant russian mob prince iosef tarasov men pay wick rather unwelcome visit rob prized 1969 mustang wife present legendary hitman forced unearth meticulously concealed identity blind revenge john immediately unleash carefully orchestr,101,2AUmvWm5ZDQ,7.3,Chad Stahelski,Derek Kolstad,action,crime,thriller,,,alfie allen,keanu reeves,michael nyqvist,"['wick', 'john', 'concealed', 'meticulously', 'mustang']",wick john concealed meticulously mustang
Zootopia,2016,largest elephant smallest shrew city zootopia mammal metropolis various animal live thrive judy hopps becomes first rabbit join police force quickly learns tough enforce law determined prove judy jump opportunity solve mysterious case unfortunately mean working nick wilde wily fox make job even harder                                                                                                  ,108,yCOPJi0Urq4,8.0,Byron Howard,Byron Howard,action,adventure,animation,comedy,crime,ginnifer goodwin,jason bateman,,"['judy', 'mammal', 'smallest', 'enforce', 'wilde']",judy mammal smallest enforce wilde
Mother's Day,2010,three brother run law head home discover mother lost house foreclosure mother ingeniously orchestrates son escape teaching house new owner guest lesson along way                                                                                                                                                                                                                                               ,112,RIQG0aKElmU,6.3,Darren Lynn Bousman,Scott Milam,drama,horror,thriller,,,jaime king,rebecca de mornay,,"['house', 'foreclosure', 'orchestrates', 'mother', 'teaching']",house foreclosure orchestrates mother teaching
Amazing Grace,2006,1797 william wilberforce great crusader british abolition slavery taking vacation health even sicker heart frustrated cause however meeting charming barbara spooner wilberforce find soulmate share story struggle ally mentor john newton slave ship captain turned repentant priest penned great hymn amazing grace prime william pitt olaudah equiano erudite former slave turned author wilberforce fruitle,118,SrE3IEAh1GI,7.5,Michael Apted,Steven Knight,action,biography,drama,history,romance,albert finney,ioan gruffudd,michael gambon,"['wilberforce', 'slave', 'william', 'turned', 'great']",wilberforce slave william turned great
Race,2016,1930s jesse owen young man first family go college going ohio state train track field coach larry snyder young african american athlete quickly impress tremendous potential suggests olympic material however owen struggle obligation life virulent racism question whether america would compete 1936 olympics nazi germany debated vigorously american envoy find compromise persuasive third reich avert bo,134,6ygu45dU3U4,7.1,Stephen Hopkins,Joe Shrapnel,action,biography,drama,history,sport,eli goree,jason sudeikis,stephan james,"['owen', 'american', 'bo', 'compromise', 'obligation']",owen american bo compromise obligation
The Letter Writer,2011,teenager receives mysterious letter mail set find author journey change life forever                                                                                                                                                                                                                                                                                                                            ,85,_Qvj9YTf2A0,6.9,Christian Vuissa,Christian Vuissa,action,drama,family,,,aley underwood,bernie diamond,pam eichner,"['mail', 'letter', 'receives', 'author', 'forever']",mail letter receives author forever
Triple 9,2016,triple 9 crew dirty cop blackmailed russian mob execute virtually impossible heist way pull manufacture 999 police code officer plan turned upside unsuspecting rookie set die foil attack triggering breakneck actionpacked finale filled doublecrosses greed revenge                                                                                                                                          ,115,JzUtr5sjRvU,6.3,John Hillcoat,Matt Cook,action,crime,drama,thriller,,anthony mackie,casey affleck,chiwetel ejiofor,"['finale', 'triple', 'doublecrosses', 'blackmailed', 'execute']",finale triple doublecrosses blackmailed execute
How to Be Single,2016,there right way single wrong way single thentheres alice robin lucy meg tom david new york city full lonely heart seeking right match love connection hookup something middle somewhere teasing text onenight stand unmarrieds common need learn single world filled everevolving definition love sleeping around city never sleep never much fun                                                               ,110,QiUA-WZzvlI,6.1,Christian Ditter,Abby Kohn,action,comedy,romance,,,dakota johnson,rebel wilson,,"['single', 'right', 'never', 'hookup', 'text']",single right never hookup text
The Finest Hours,2016,february 1952 one worst storm ever hit east coast struck new england damaging oil tanker coast cape cod literally ripping half small lifeboat faced frigid temperature 70foot high wave four member coast guard set rescue 30 stranded sailor trapped aboard rapidlysinking vessel                                                                                                                              ,117,-1QOTS-OkIg,6.8,Craig Gillespie,Scott Silver,action,drama,history,thriller,,casey affleck,chris pine,,"['coast', 'ripping', 'lifeboat', 'cod', 'temperature']",coast ripping lifeboat cod temperature
Lakeview Terrace,2008,california caucasian chris mattson africanamerican wife lisa mattson move house gated community racist dysfunctional nextdoor neighbor abusive lapd officer abel turner feel uncomfortable relationship newcomer transforms life hell earth                                                                                                                                                                     ,110,GXg9rlsTEBg,6.1,Neil LaBute,David Loughery,action,crime,drama,thriller,,patrick wilson,samuel l. jackson,,"['nextdoor', 'uncomfortable', 'abel', 'caucasian', 'racist']",nextdoor uncomfortable abel caucasian racist
Somewhere,2010,hollywood actor johnny marco nested luxury hotel choice stimulated man drinking party woman keep creeping boredom wrap job occasional father bright girl cleo may spoiled doesnt act cleos mother drop leaf town johnny brings along ride fit 11yearold girl privileged lifestyle                                                                                                                               ,97,iEga7Hz9a3U,6.3,Sofia Coppola,Sofia Coppola,action,comedy,drama,,,chris pontius,elle fanning,stephen dorff,"['johnny', 'wrap', 'boredom', 'creeping', 'occasional']",johnny wrap boredom creeping occasional
Diary of a Wimpy Kid: Rodrick Rules,2011,greg rodrick dont get along parent fully aware order help get along gregs mother introduces mom buck reward getting along rodrick isnt problem deal conflict involving holly hill well embarrassing situation greg rodrick get along                                                                                                                                                                            ,0,ZbqqYuG1TCM,6.6,David Bowers,Gabe Sachs,action,comedy,family,,,devon bostick,zachary gordon,,"['rodrick', 'along', 'greg', 'get', 'reward']",rodrick along greg get reward
Killshot,2008,beautiful carmen colson ironworker husband wayne placed federal witness protection program witnessing extortion scheme go wrong thinking last safe targeted experienced intimidating hit man psychopathic young upstart killer ensuing struggle test carmen limit                                                                                                                                               ,95,jxiUMyqyWPw,6.0,John Madden,Hossein Amini,action,crime,drama,thriller,,diane lane,mickey rourke,thomas jane,"['carmen', 'upstart', 'extortion', 'intimidating', 'witnessing']",carmen upstart extortion intimidating witnessing
Vampire Hunter D: Bloodlust,2000,many thousand year future vampire ruled night seen number reduced fearless bounty hunter one hunter halfbreed son human mother vampire father girl rich family taken home vampire meier link father contract markus brother rival group hunter race retrieve hero fight way meiers hired guard begin suspect girl may gone willingly                                                                            ,103,l9vPi7JFhv0,7.7,Yoshiaki Kawajiri,Hideyuki Kikuchi,action,adventure,animation,drama,fantasy,andrew philpot,john rafter lee,,"['vampire', 'hunter', 'halfbreed', 'reduced', 'link']",vampire hunter halfbreed reduced link
The Oxford Murders,2008,martin phd student mathematics enrolls oxford hope meeting mentor professor seldom young man manages find lodging mr eagletons house stifling atmosphere prevails due landlady attitude indeed mr eagleton happens friend seldoms haughty unsympathetic woman also stifle daughter beth university thing fare much better martin put place idol one seldoms lecture private life change best start affair lorna ,104,V8edqqoXcg4,6.1,Álex de la Iglesia,Álex de la Iglesia,action,crime,mystery,thriller,,elijah wood,john hurt,,"['martin', 'mr', 'unsympathetic', 'lecture', 'landlady']",martin mr unsympathetic lecture landlady
Risen,2016,follows epic biblical story resurrection told eye nonbeliever clavius powerful roman military tribune aide lucius tasked solving mystery happened yahshua week following crucifixion order disprove rumor risen messiah prevent uprising jerusalem                                                                                                                                                              ,107,xxgm2TJr2m0,6.3,Kevin Reynolds,Kevin Reynolds,action,adventure,drama,fantasy,history,joseph fiennes,tom felton,,"['biblical', 'lucius', 'resurrection', 'crucifixion', 'nonbeliever']",biblical lucius resurrection crucifixion nonbeliever
The Witch,2015,new england 1630 william katherine try lead devout christian life homesteading edge impassible wilderness five child newborn son mysteriously vanishes crop fail family begin turn one another witch chilling portrait family unraveling within sin leaving prey inescapable evil                                                                                                                               ,92,gud8viI-P7Q,6.8,Robert Eggers,Robert Eggers,action,horror,mystery,,,anya taylor-joy,kate dickie,ralph ineson,"['unraveling', 'vanishes', 'inescapable', 'crop', 'devout']",unraveling vanishes inescapable crop devout
Jolene,2008,teenage orphan spends ten year traveling crosscountry experiencing life love heartbreak based el doctorow story jolene life                                                                                                                                                                                                                                                                                     ,121,HDLyPLEWJjg,6.5,Dan Ireland,Dennis Yares,action,drama,,,,frances fisher,jessica chastain,,"['heartbreak', 'crosscountry', 'experiencing', 'el', 'orphan']",heartbreak crosscountry experiencing el orphan
Lego Scooby-Doo!: Haunted Hollywood,2016,oooh hollywood glitz glamthe headless horseman join favorite k9 sleuth scoobydoo along shaggy mystery inc gang find tinseltown twist vip tour legendary brickton studio scooby friend get firsthand experience rumored hauntings classic movie monster drop creepy casting call there one way solve thriller save aging studio mystery inc movie magic time grab scooby snack hop director chair allnew lego mov,75,iE1JxX_zCLg,6.1,Rick Morales,Heath Corson,action,animation,comedy,family,fantasy,frank welker,matthew lillard,,"['scooby', 'inc', 'studio', 'mystery', 'movie']",scooby inc studio mystery movie
Assassination Games,2011,vincent brazil roland flint two best assassin world unknown two rival assassin form uneasy alliance take target backed dirty interpol agent                                                                                                                                                                                                                                                                     ,101,Pdmh1qO1-Ow,6.2,Ernie Barbarash,Aaron Rahsaan Thomas,action,crime,drama,thriller,,ivan kaye,jean-claude van damme,scott adkins,"['assassin', 'backed', 'flint', 'uneasy', 'interpol']",assassin backed flint uneasy interpol
Dirty Pretty Things,2002,okwe illegal nigerian immigrant leading hard life struggling survive london underground work hotel receptionist night time doctor degree practice medicine day odd way besides must constantly escape immigration officer one day okwe discovers chance illegal scheme surgery lead juan bos hotel juan quickly come tempting proposal okwe accepts perform illegal surgery make lot money get legalized situati,97,1J_fiAT4VJ0,7.4,Stephen Frears,Steven Knight,action,crime,drama,thriller,,audrey tautou,chiwetel ejiofor,sophie okonedo,"['okwe', 'illegal', 'juan', 'surgery', 'hotel']",okwe illegal juan surgery hotel
Hero,2002,ancient china reign first emperor warring faction throughout six kingdom plot assassinate powerful ruler qin minor official defeat qin three principal enemy summoned palace tell qin story surprising victory                                                                                                                                                                                                  ,107,Yy1ugctqB5U,7.9,Yimou Zhang,Feng Li,action,adventure,history,,,jet li,tony chiu-wai leung,,"['qin', 'warring', 'palace', 'surprising', 'ruler']",qin warring palace surprising ruler
Deadpool,2016,origin story former special force operative turned mercenary wade wilson subjected rogue experiment leaf accelerated healing power adopts alter ego deadpool armed new ability dark twisted sense humor deadpool hunt man nearly destroyed life                                                                                                                                                                 ,108,ZIM1HydF9UA,8.0,Tim Miller,Rhett Reese,action,adventure,comedy,romance,sci-fi,morena baccarin,ryan reynolds,t.j. miller,"['deadpool', 'subjected', 'wade', 'adopts', 'healing']",deadpool subjected wade adopts healing
The Boy,2016,greta young american woman take job nanny remote english village discover family 8yearold lifesized doll parent care like real boy way cope death actual son 20 year prior violating list strict rule series disturbing inexplicable event bring gretas worst nightmare life leading believe doll actually alive                                                                                                ,97,zpIbO6HEwr8,6.0,William Brent Bell,Stacey Menear,action,horror,mystery,thriller,,james russell,lauren cohan,rupert evans,"['doll', '8yearold', 'inexplicable', 'actual', 'prior']",doll 8yearold inexplicable actual prior
"WWE TLC Tables, Ladders & Chairs",2015,wwe table ladder chair invades boston huge event anything legal first match new day defends wwe tag team championship usos luchadragons amazing ladder match next ryback take rusev single competition rusevs fiance lana get involved following matchup alberto del rio defends united state championship real american jack swagger chair match called extreme match night team extreme rhyno tommy dreamer du,171,h4_8Gb-OpBc,6.7,Stephen Farrelly,,action,,,,,jonathan good,,,"['match', 'ladder', 'defends', 'wwe', 'chair']",match ladder defends wwe chair
Where to Invade Next,2015,show usa learn rest world director michael moore playfully visit various nation europe africa oneman invader take idea practice america whether italy generous vacation time allotment france gourmet school lunch germany industrial policy norway prison system tunisia strongly progressive woman policy iceland strong female presence government business among others michael moore discovers much america,120,1KeAZho8TKo,7.6,Michael Moore,Michael Moore,action,comedy,documentary,,,christina fancelli,johnny fancelli,michael moore,"['policy', 'moore', 'michael', 'america', 'oneman']",policy moore michael america oneman
The Choice,2016,small coastal town veterinarian travis shaw work father shep close beloved sister steph travis successful woman date monica every resident gabby holland move next door house initially belief pretentious man boyfriend ryan maccarthy fellow doctor hospital work need travel another city gabby travis relationship fall love blue ryan return proposes marry gabby make choice two love                     ,111,nWPM1jTnuuo,6.6,Ross Katz,Bryan Sipe,action,drama,romance,,,alexandra daddario,benjamin walker,teresa palmer,"['gabby', 'travis', 'ryan', 'shep', 'veterinarian']",gabby travis ryan shep veterinarian
Once I Was a Beehive,2015,lane speer 16yearold girl spends family vacation camping mountain take memory granted loses father cancer year later lane still reeling father death mother marries guy lane hardly know mormon top honeymoon arrange stay mormon stepaunt take away biblethemed girl camp bunch young mormon girl confronted memory camping family try find peace new surroundings deal father death                           ,119,-kFRRBC2UTQ,6.3,Maclain Nelson,Maclain Nelson,action,comedy,drama,family,,hailey smith,lisa clark,paris warner,"['mormon', 'lane', 'camping', 'girl', 'father']",mormon lane camping girl father
Cadillac Records,2008,tale sex violence race rock roll 1950s chicago cadillac record follows exciting turbulent life america musical legend including muddy water leonard chess little walter howlin wolf etta james chuck berry                                                                                                                                                                                                      ,109,QfB20nn-gD8,7.0,Darnell Martin,Darnell Martin,action,biography,drama,music,,adrien brody,beyoncé,jeffrey wright,"['muddy', 'berry', 'chuck', 'leonard', 'chess']",muddy berry chuck leonard chess
DRUNK STONED BRILLIANT DEAD: The Story of the National Lampoon,2015,featuring rare never seen footage mind boggling story national lampoon subversive electrifying beginning rebirth unlikely hollywood heavyweight beyond humour empire like impact magazine irreverent often shocking sensibility nothing short seismic institution whose drunk stoned brilliant alumnus left fingerprint popular culture insanely great breathtakingly innovative national lampoon created founda,98,6EXQgTDZs60,7.2,Douglas Tirola,Mark Monroe,action,biography,comedy,documentary,history,danny abelson,judd apatow,kevin bacon,"['lampoon', 'national', 'subversive', 'sensibility', 'stoned']",lampoon national subversive sensibility stoned
Joy,2015,joy always fascinated creating thing pursuit always supported emotionally maternal grandmother mimi joy feel lack practical support led others making fortune idea came year ago could act upon manufacturing despite broke joy person extended family everyone always turned process forgoing life including attended college help see parent divorce work unsatisfying job eastern airline ticket clerk life m,124,8Ngf1vSOTgk,6.6,David O. Russell,David O. Russell,action,biography,comedy,drama,,jennifer lawrence,robert de niro,,"['joy', 'always', 'unsatisfying', 'attended', 'practical']",joy always unsatisfying attended practical
Kate & Leopold,2001,kate actor brother live ny 21st century exboyfriend stuart life apartment stuart find space near brooklyn bridge gap time go back 19th century take picture place leopold man living 1870s puzzled stuart tiny camera follows back gap ended present day leopold clueless new surroundings get help insight charlie think leopold actor always character leopold highly intelligent man try best learn even impr,118,lFJywpD2PU4,6.4,James Mangold,Steven Rogers,action,comedy,fantasy,romance,,hugh jackman,meg ryan,,"['leopold', 'stuart', 'gap', 'actor', 'century']",leopold stuart gap actor century
Glorious 39,2009,1939 set presentday london idyllic british countryside time beginning second world war time uncertainty high tension story revolves around formidable keyes family keen uphold preserve traditional way life eldest sibling anne budding young actress love foreign office official lawrence seemingly perfect life begin dramatically unravel stumble across secret recording proappeasement movement trying di,129,RXj2p0ASGE8,6.5,Stephen Poliakoff,Stephen Poliakoff,action,drama,history,thriller,war,eddie redmayne,juno temple,romola garai,"['uphold', 'lawrence', 'uncertainty', 'preserve', 'dramatically']",uphold lawrence uncertainty preserve dramatically
The Snow Queen 2,2014,snow queen cast curse mirror making people see worst                                                                                                                                                                                                                                                                                                                                                            ,78,ZVlKB97Pl-c,6.3,Aleksey Tsitsilin,Roman Nepomnyashchiy,action,adventure,animation,comedy,family,anna shurochkina,ivan okhlobystin,,"['mirror', 'snow', 'curse', 'cast', 'worst']",mirror snow curse cast worst
Deep Web,2015,feature documentary explores rise new internet decentralized encrypted dangerous beyond law particular focus fbi capture tor hidden service silk road judicial aftermath                                                                                                                                                                                                                                        ,90,BvC9oDlT8mM,7.0,Alex Winter,Alex Winter,action,documentary,,,,cindy cohn,joshua l. dratel,nicolas christin,"['particular', 'internet', 'aftermath', 'focus', 'feature']",particular internet aftermath focus feature
